課程名稱,老師,學分數
新生專題,"賴亮全
三 10,A",2 學分
新生專題,"楊馥菱
四 5,6
工綜230",2 學分
新生專題,"陽毅平
四 8,9
博雅203",2 學分
新生專題,"陳琪芳
一 10,A",2 學分
中文學術寫作入門,"李冠穎
二 6,7
綜201",2 學分
新生講座-活出精彩,"孫效智
二 8,9,10
博雅102",2 學分
學期間職涯培訓,朱士維,2 學分
學術英語：生農領域,"陳翊齊
二 2,3,4
綜201",3 學分
學術英語：管理領域,"李立聖
二 6,7,8
綜502",3 學分
探索臺灣：聆聽臺灣的樂動,"黃佩玲
三 7,8,9
普204",3 學分
以Excel進行資料分析,"林友瑜
一 6,7
共201",2 學分
以Excel進行資料分析,"林友瑜
一 3,4
共204",2 學分
生活中的生物資訊,"林友瑜
二 6,7
綜605",2 學分
生活中的生物資訊,"林友瑜
二 8,9
綜605",2 學分
諾貝爾生醫獎得主的啟示,"饒梓明
四 2,3,4
綜302",3 學分
生活中的科技原理,"饒梓明
五 6,7,8
共204",3 學分
生物科技與道德反思,"饒梓明
四 6,7,8
共101",3 學分
童年、政策與健康,"張弘潔
四 6,7
公衛212",2 學分
職場社會心理健康：政策與管理議題,"鄭雅文
四 8,9
公衛212",2 學分
海峽兩岸關係史二,"李君山
二 6,7
博雅202",2 學分
海峽兩岸關係史二,"李君山
五 3,4
博雅202",2 學分
臺灣歷史與人物,"歐素瑛
三 8,9
博雅201",2 學分
現代中國與世界：1911-1979,"王遠義
二 8,9,10
博雅101",3 學分
戰後臺灣民主運動史,"陳翠蓮
二 7,8,9
博雅103",3 學分
中國史上的人物與世運二,"宋家復
三 2,3,4
博雅202",3 學分
中國與天下,"甘懷真
一 8,9
博雅302",2 學分
物件中的日本史,"曾寶滿
三 6,7,8
普203",3 學分
中華人民共和國史: 來自普通人的觀點,"羅士傑
三 6,7,8
博雅102",3 學分
東亞歷史上的政教關係,"郭珮君
二 2,3,4
博雅302",3 學分
戰後臺灣史與轉型正義,"吳俊瑩
四 2,3,4
博雅201",3 學分
中國傳統法律、文化與社會,"陳俊強
四 7,8,9
博雅102",3 學分
戰後台灣史,"歐素瑛
三 6,7
博雅201",2 學分
清代臺灣的移民開發與社會,"李文良
二 3,4
普203",2 學分
當代食品安全議題,"羅宇軒
二 6,7
共202",2 學分
戰後台灣史,"歐素瑛
三 6,7
博雅201",2 學分
清代臺灣的移民開發與社會,"李文良
二 3,4
普203",2 學分
當代食品安全議題,"羅宇軒
二 6,7
共202",2 學分
Python資料分析與機器學習應用,"何承遠
一 2,3,4
管一B01",3 學分
Python資料分析與機器學習應用,"何承遠
一 7,8,9
管一B01",3 學分
Python資料分析與機器學習應用,"何承遠
二 2,3,4
管一B01",3 學分
Python資料分析與機器學習應用,"何承遠
三 2,3,4
管一B01",3 學分
跨文化溝通與管理,"畢南怡
五 6,7
管二304",2 學分
統計與生活,"蘇士詠
三 2,3,4
共201",3 學分
統計Let's GO,"蘇士詠
四 2,3,4
新403",3 學分
統計Let's GO,"蘇士詠
四 6,7,8
新503",3 學分
Python人工智慧程式設計入門,"陳彥賓
三 7,8,9
綜302",3 學分
Python人工智慧程式設計入門,"陳彥賓
三 A,B,C
普103",3 學分
跨領域實驗設計與統計方法,"蘇士詠
三 6,7,8
新204",3 學分
跨領域統計數據分析入門,"陳彥賓
二 7,8,9
博雅201",3 學分
認識全球與在地國際化,"袁孝維
四 8,9
普101",2 學分
理解氣候變遷,"任昊佳
五 3,4
全變中心G202",2 學分
氣候變遷對策：地球急轉彎,"謝宜桓
五 6,7
綜401",2 學分
媒體素養,"洪貞玲
二 7,8,9
新聞103",3 學分
「法律與哲學」導論,"顏厥安
二 3,4
霖1403",2 學分
臺灣語言與社會,"江文瑜
四 7,8,9
共201",3 學分
資訊資源與圖書館,"羅思嘉
三 8,9
圖資資訊室",2 學分
資訊視覺化,"蔡天怡
二 2,3,4
圖資資訊室",3 學分
普通生物學丙,"鄭石通
一 3 / 四 3,4
共105",3 學分
普通生物學丙,"潘建源
二 2,3,4
北館視聽",3 學分
普通動物學,"張智涵
一 3,4 / 四 6
共201",3 學分
遺傳工程概論,"鄭貽生
四 8,9
普103",2 學分
古生物學概論,"蔡政修
二 3,4
博雅101",2 學分
當代基督教歷史與文化,"鄭仰恩
一 8,9,10
普103",3 學分
探索臺灣:臺灣電影與臺灣社會,"郭任峯
二 3,4
博雅103",2 學分
你所不知道的昆蟲學,"曹順成
五 7,8,9
綜302",3 學分
探索臺灣：女性與臺灣社會,"郭任峯
一 3,4
博雅201",2 學分
生物學上的巨擘,"曹順成
二 7,8
綜402",2 學分
心靈洞察與發現熱情,"錢玉芬
四 2,3,4
新302",3 學分
國會與憲政民主,"劉有恒
二 6,7
共204",2 學分
議事學,"劉有恒
二 8,9
共204",2 學分
協調溝通與衝突管理,"徐顯國
二 2,3,4
綜501",2 學分
職場倫理與職場精神,"洪英正
一 7,8,9
博雅301",3 學分
傳統中國人文思想與自然,"唐格理
五 7,8,9
綜301",3 學分
戲說生物學,"曹順成
五 2,3,4
新203",3 學分
改變歷史的生物(二),"曹順成
二 3,4,5
綜502",3 學分
歷史學的空間與網絡分析,"林牧之
四 3,4
普202",2 學分
人文與科技的對話,"袁孝維
三 6,7
綜合大講堂",2 學分
科學的歷史進展對宗教信仰與形上學的影響,"梁明義
四 8,9
博雅202",2 學分
邏輯思考與應用,"王銀國
三 8,9
博雅202",2 學分
數位素養導航,"許恒達
四 3,4
博雅101",2 學分
醫學與生活,"楊榮森
三 8,9
基醫101",2 學分
醫學與生活,"江鴻生
三 6,7
基醫104",2 學分
醫學與生活,"楊榮森
三 6,7
基醫101",2 學分
醫學與人文,"陳彥元
五 6,7
基醫301",2 學分
心理健康促進與自殺防治,"吳佳儀
三 7,8,9
基醫405",3 學分
主題英語不尬聊,"林以凡
四 7,8,9
共103",3 學分
疼痛. 健康. 幸福感,"陳慧玲
四 8,9
博雅103",2 學分
全球衛生的在地參與,"陳其欣
三 9,10
博雅406",2 學分
當代全球衛生議題,"李婉甄
三 6,7,8
綜401",3 學分
商管程式設計,"孔令傑
一 A,B,C",3 學分
解鎖動物的語言,"周均珈
一 6,7,8
綜201",3 學分
當代全球衛生議題,"李婉甄
三 6,7,8
綜401",3 學分
商管程式設計,"孔令傑
一 A,B,C",3 學分
解鎖動物的語言,"周均珈
一 6,7,8
綜201",3 學分
蔬菜病害,"沈原民
三 6,7
綜501",2 學分
農村生活臺語會話,"沈原民
二 2,3
共103",2 學分
